station_number,hour,weekend,available_bikes
2,0,False,11.883333333333333
2,0,True,10.847457627118644
2,1,False,12.378151260504202
2,1,True,11.0
2,2,False,12.38655462184874
2,2,True,11.0
2,3,False,12.420168067226891
2,3,True,11.067796610169491
2,4,False,12.336134453781513
2,4,True,11.0
2,5,False,12.341666666666667
2,5,True,11.0
2,6,False,11.166666666666666
2,6,True,10.916666666666666
2,7,False,7.2
2,7,True,10.216666666666667
2,8,False,4.96
2,8,True,9.4
2,9,False,1.9682539682539681
2,9,True,8.783333333333333
2,10,False,2.448
2,10,True,7.966101694915254
2,11,False,2.634920634920635
2,11,True,10.616666666666667
2,12,False,3.9603174603174605
2,12,True,11.816666666666666
2,13,False,7.1171875
2,13,True,11.254237288135593
2,14,False,7.022388059701493
2,14,True,9.59322033898305
2,15,False,7.031746031746032
2,15,True,8.15
2,16,False,7.023809523809524
2,16,True,8.333333333333334
2,17,False,7.064
2,17,True,8.333333333333334
2,18,False,8.333333333333334
2,18,True,9.0
2,19,False,8.634920634920634
2,19,True,9.466666666666667
2,20,False,9.317460317460318
2,20,True,9.733333333333333
2,21,False,10.12396694214876
2,21,True,9.666666666666666
2,22,False,11.08849557522124
2,22,True,9.783333333333333
2,23,False,11.096491228070175
2,23,True,9.616666666666667
3,0,False,8.523809523809524
3,0,True,13.152542372881356
3,1,False,8.424
3,1,True,13.4
3,2,False,8.464
3,2,True,13.4
3,3,False,8.496
3,3,True,13.491525423728813
3,4,False,8.376
3,4,True,13.4
3,5,False,7.968253968253968
3,5,True,13.25
3,6,False,5.714285714285714
3,6,True,12.416666666666666
3,7,False,4.555555555555555
3,7,True,12.1
3,8,False,4.825396825396825
3,8,True,11.733333333333333
3,9,False,7.571428571428571
3,9,True,11.183333333333334
3,10,False,8.04
3,10,True,10.966101694915254
3,11,False,7.349206349206349
3,11,True,9.65
3,12,False,6.444444444444445
3,12,True,11.766666666666667
3,13,False,8.1171875
3,13,True,12.135593220338983
3,14,False,8.911111111111111
3,14,True,11.864406779661017
3,15,False,7.696969696969697
3,15,True,13.483333333333333
3,16,False,5.962121212121212
3,16,True,15.05
3,17,False,5.900763358778626
3,17,True,16.1
3,18,False,6.1937984496124034
3,18,True,16.016949152542374
3,19,False,6.409090909090909
3,19,True,16.5
3,20,False,7.0227272727272725
3,20,True,16.766666666666666
3,21,False,7.393700787401575
3,21,True,16.983333333333334
3,22,False,8.428571428571429
3,22,True,16.8
3,23,False,8.625
3,23,True,16.55
4,0,False,8.714285714285714
4,0,True,12.389830508474576
4,1,False,8.672
4,1,True,12.333333333333334
4,2,False,8.736
4,2,True,12.4
4,3,False,8.648
4,3,True,12.491525423728813
4,4,False,8.672
4,4,True,12.4
4,5,False,9.03968253968254
4,5,True,12.4
4,6,False,9.579365079365079
4,6,True,12.45
4,7,False,11.182539682539682
4,7,True,11.833333333333334
4,8,False,13.071428571428571
4,8,True,11.833333333333334
4,9,False,15.380952380952381
4,9,True,11.833333333333334
4,10,False,16.04
4,10,True,11.847457627118644
4,11,False,14.761904761904763
4,11,True,11.05
4,12,False,13.698412698412698
4,12,True,11.233333333333333
4,13,False,12.375
4,13,True,11.677966101694915
4,14,False,12.281481481481482
4,14,True,11.033898305084746
4,15,False,11.136363636363637
4,15,True,10.533333333333333
4,16,False,8.606060606060606
4,16,True,10.416666666666666
4,17,False,6.0458015267175576
4,17,True,11.0
4,18,False,5.286821705426356
4,18,True,11.169491525423728
4,19,False,5.659090909090909
4,19,True,11.983333333333333
4,20,False,5.833333333333333
4,20,True,12.566666666666666
4,21,False,6.519685039370079
4,21,True,12.516666666666667
4,22,False,7.583333333333333
4,22,True,13.216666666666667
4,23,False,7.840336134453781
4,23,True,13.516666666666667
5,0,False,28.8015873015873
5,0,True,13.033898305084746
5,1,False,28.856
5,1,True,13.2
5,2,False,29.048
5,2,True,13.4
5,3,False,28.816
5,3,True,13.525423728813559
5,4,False,28.928
5,4,True,13.4
5,5,False,28.841269841269842
5,5,True,13.4
5,6,False,28.57936507936508
5,6,True,13.55
5,7,False,26.53968253968254
5,7,True,13.683333333333334
5,8,False,17.285714285714285
5,8,True,17.083333333333332
5,9,False,8.547619047619047
5,9,True,18.45
5,10,False,9.432
5,10,True,19.305084745762713
5,11,False,10.428571428571429
5,11,True,19.55
5,12,False,10.126984126984127
5,12,True,18.333333333333332
5,13,False,9.546875
5,13,True,16.559322033898304
5,14,False,11.096296296296297
5,14,True,15.610169491525424
5,15,False,12.613636363636363
5,15,True,14.45
5,16,False,13.348484848484848
5,16,True,13.466666666666667
5,17,False,14.80916030534351
5,17,True,12.95
5,18,False,19.372093023255815
5,18,True,13.203389830508474
5,19,False,24.71212121212121
5,19,True,13.183333333333334
5,20,False,26.992424242424242
5,20,True,13.716666666666667
5,21,False,28.866141732283463
5,21,True,13.233333333333333
5,22,False,29.458333333333332
5,22,True,12.85
5,23,False,29.176470588235293
5,23,True,12.8
6,0,False,8.333333333333334
6,0,True,11.610169491525424
6,1,False,8.268907563025211
6,1,True,11.4
6,2,False,8.243697478991596
6,2,True,11.4
6,3,False,8.100840336134453
6,3,True,11.288135593220339
6,4,False,8.109243697478991
6,4,True,11.4
6,5,False,7.983333333333333
6,5,True,11.283333333333333
6,6,False,7.25
6,6,True,11.0
6,7,False,7.575
6,7,True,10.9
6,8,False,7.254098360655738
6,8,True,10.6
6,9,False,7.746031746031746
6,9,True,10.233333333333333
6,10,False,8.936
6,10,True,9.932203389830509
6,11,False,9.420634920634921
6,11,True,10.033333333333333
6,12,False,10.119047619047619
6,12,True,11.633333333333333
6,13,False,9.90625
6,13,True,12.677966101694915
6,14,False,8.93233082706767
6,14,True,14.067796610169491
6,15,False,8.61111111111111
6,15,True,16.133333333333333
6,16,False,8.095238095238095
6,16,True,16.083333333333332
6,17,False,7.864
6,17,True,14.7
6,18,False,8.596774193548388
6,18,True,15.220338983050848
6,19,False,9.336
6,19,True,16.316666666666666
6,20,False,10.46031746031746
6,20,True,15.966666666666667
6,21,False,9.355371900826446
6,21,True,16.133333333333333
6,22,False,8.824561403508772
6,22,True,15.833333333333334
6,23,False,8.008849557522124
6,23,True,15.266666666666667
7,0,False,9.793650793650794
7,0,True,11.847457627118644
7,1,False,9.896
7,1,True,12.1
7,2,False,9.896
7,2,True,12.1
7,3,False,9.808
7,3,True,12.220338983050848
7,4,False,9.752
7,4,True,12.1
7,5,False,9.833333333333334
7,5,True,12.1
7,6,False,8.952380952380953
7,6,True,12.1
7,7,False,8.396825396825397
7,7,True,11.916666666666666
7,8,False,7.992063492063492
7,8,True,12.266666666666667
7,9,False,6.642857142857143
7,9,True,12.7
7,10,False,7.808
7,10,True,13.830508474576272
7,11,False,7.761904761904762
7,11,True,14.05
7,12,False,8.896825396825397
7,12,True,14.083333333333334
7,13,False,8.5
7,13,True,14.11864406779661
7,14,False,9.044444444444444
7,14,True,14.372881355932204
7,15,False,8.878787878787879
7,15,True,14.35
7,16,False,9.659090909090908
7,16,True,15.716666666666667
7,17,False,9.0
7,17,True,15.883333333333333
7,18,False,7.8604651162790695
7,18,True,16.10169491525424
7,19,False,7.598484848484849
7,19,True,16.616666666666667
7,20,False,7.303030303030303
7,20,True,17.05
7,21,False,7.574803149606299
7,21,True,16.65
7,22,False,7.541666666666667
7,22,True,16.366666666666667
7,23,False,7.38655462184874
7,23,True,16.766666666666666
8,0,False,6.0396825396825395
8,0,True,6.237288135593221
8,1,False,6.12
8,1,True,6.033333333333333
8,2,False,6.224
8,2,True,6.1
8,3,False,6.264
8,3,True,6.186440677966102
8,4,False,6.256
8,4,True,6.1
