station_number,hour,weekend,mean_bikes_avail
2,0,False,10.953333333333333
2,0,True,9.859154929577464
2,1,False,11.375838926174497
2,1,True,10.166666666666666
2,2,False,11.38255033557047
2,2,True,10.166666666666666
2,3,False,11.409395973154362
2,3,True,10.211267605633802
2,4,False,11.342281879194632
2,4,True,10.166666666666666
2,5,False,11.353333333333333
2,5,True,10.166666666666666
2,6,False,10.221476510067115
2,6,True,10.027777777777779
2,7,False,6.426666666666667
2,7,True,9.319444444444445
2,8,False,4.909677419354839
2,8,True,8.430555555555555
2,9,False,2.371794871794872
2,9,True,7.690140845070423
2,10,False,2.574193548387097
2,10,True,7.211267605633803
2,11,False,2.8974358974358974
2,11,True,9.23611111111111
2,12,False,4.371794871794871
2,12,True,10.125
2,13,False,7.2974683544303796
2,13,True,9.492957746478874
2,14,False,6.9226190476190474
2,14,True,8.028169014084508
2,15,False,6.796178343949045
2,15,True,6.916666666666667
2,16,False,6.685185185185185
2,16,True,7.305555555555555
2,17,False,6.484472049689441
2,17,True,7.444444444444445
2,18,False,8.371069182389936
2,18,True,7.971830985915493
2,19,False,8.95679012345679
2,19,True,8.416666666666666
2,20,False,9.592592592592593
2,20,True,8.569444444444445
2,21,False,10.197452229299364
2,21,True,8.416666666666666
2,22,False,11.093959731543624
2,22,True,8.61111111111111
2,23,False,11.241610738255034
2,23,True,8.51388888888889
3,0,False,9.5
3,0,True,13.23943661971831
3,1,False,9.385093167701863
3,1,True,13.5
3,2,False,9.440993788819876
3,2,True,13.5
3,3,False,9.46583850931677
3,3,True,13.577464788732394
3,4,False,9.372670807453416
3,4,True,13.5
3,5,False,8.796296296296296
3,5,True,13.319444444444445
3,6,False,6.6397515527950315
3,6,True,12.402777777777779
3,7,False,5.372670807453416
3,7,True,12.01388888888889
3,8,False,5.851851851851852
3,8,True,11.708333333333334
3,9,False,8.45679012345679
3,9,True,11.267605633802816
3,10,False,8.900621118012422
3,10,True,11.098591549295774
3,11,False,8.666666666666666
3,11,True,9.527777777777779
3,12,False,7.716049382716049
3,12,True,11.277777777777779
3,13,False,8.865853658536585
3,13,True,12.112676056338028
3,14,False,9.531428571428572
3,14,True,12.140845070422536
3,15,False,8.177514792899409
3,15,True,13.541666666666666
3,16,False,6.568965517241379
3,16,True,14.416666666666666
3,17,False,6.294797687861272
3,17,True,15.555555555555555
3,18,False,6.450292397660819
3,18,True,15.352112676056338
3,19,False,6.511494252873563
3,19,True,16.09722222222222
3,20,False,7.011494252873563
3,20,True,16.5
3,21,False,7.1420118343195265
3,21,True,16.694444444444443
3,22,False,7.801242236024844
3,22,True,16.680555555555557
3,23,False,7.763975155279503
3,23,True,16.51388888888889
4,0,False,8.555555555555555
4,0,True,12.915492957746478
4,1,False,8.559006211180124
4,1,True,12.944444444444445
4,2,False,8.608695652173912
4,2,True,13.0
4,3,False,8.540372670807454
4,3,True,13.084507042253522
4,4,False,8.559006211180124
4,4,True,13.0
4,5,False,8.907407407407407
4,5,True,13.0
4,6,False,9.434782608695652
4,6,True,13.01388888888889
4,7,False,11.211180124223603
4,7,True,12.569444444444445
4,8,False,12.62962962962963
4,8,True,12.38888888888889
4,9,False,15.179012345679013
4,9,True,12.295774647887324
4,10,False,16.03105590062112
4,10,True,12.112676056338028
4,11,False,15.197530864197532
4,11,True,11.277777777777779
4,12,False,14.382716049382717
4,12,True,11.291666666666666
4,13,False,12.676829268292684
4,13,True,11.605633802816902
4,14,False,12.64
4,14,True,11.098591549295774
4,15,False,11.34319526627219
4,15,True,10.680555555555555
4,16,False,9.160919540229886
4,16,True,11.055555555555555
4,17,False,6.76878612716763
4,17,True,11.5
4,18,False,5.87719298245614
4,18,True,11.619718309859154
4,19,False,5.982758620689655
4,19,True,12.722222222222221
4,20,False,6.17816091954023
4,20,True,13.069444444444445
4,21,False,6.899408284023669
4,21,True,13.055555555555555
4,22,False,7.783950617283951
4,22,True,13.76388888888889
4,23,False,8.11875
4,23,True,14.125
5,0,False,29.049382716049383
5,0,True,14.32394366197183
5,1,False,29.074534161490682
5,1,True,14.416666666666666
5,2,False,29.22360248447205
5,2,True,14.583333333333334
5,3,False,29.043478260869566
5,3,True,14.704225352112676
5,4,False,29.130434782608695
5,4,True,14.583333333333334
5,5,False,29.049382716049383
5,5,True,14.583333333333334
5,6,False,28.63975155279503
5,6,True,14.75
5,7,False,26.267080745341616
5,7,True,14.875
5,8,False,17.45679012345679
5,8,True,17.708333333333332
5,9,False,8.919753086419753
5,9,True,18.704225352112676
5,10,False,10.695652173913043
5,10,True,19.535211267605632
5,11,False,11.709876543209877
5,11,True,19.805555555555557
5,12,False,11.524691358024691
5,12,True,18.125
5,13,False,10.804878048780488
5,13,True,16.492957746478872
5,14,False,11.72
5,14,True,15.0
5,15,False,13.21301775147929
5,15,True,13.375
5,16,False,13.758620689655173
5,16,True,12.26388888888889
5,17,False,15.22543352601156
5,17,True,11.555555555555555
5,18,False,19.91812865497076
5,18,True,12.014084507042254
5,19,False,25.7183908045977
5,19,True,11.875
5,20,False,28.011494252873565
5,20,True,12.38888888888889
5,21,False,29.798816568047336
5,21,True,12.055555555555555
5,22,False,30.41358024691358
5,22,True,11.777777777777779
5,23,False,30.03125
5,23,True,11.680555555555555
6,0,False,8.28
6,0,True,12.338028169014084
6,1,False,8.248322147651006
